"","IF_line","LD1","LD2","LD3"
"1",6,-1.0337098050682,4.42342492058317,-0.860750741922184
"2",6,-2.51468581577,2.77322753402624,-1.11661026300372
"3",6,-1.80207891307931,2.6478357165721,-0.0968949238878414
"4",6,-1.2161897340397,1.65524154552401,-0.0409052863201274
"5",6,-2.34742998690879,2.8681980991035,-1.16182574025852
"6",6,-1.84060137883097,3.70174663323321,-0.560878966008621
"7",6,-1.03967005595886,3.22226464851315,-1.35924551556991
"8",6,-1.52975286518907,2.74323937162084,-0.992356920938788
"9",6,-0.988572610743366,1.08409971588004,-1.62259893928893
"10",6,-2.2910315774699,2.97646556385185,-0.423816473720088
"11",6,-0.81255504051783,2.41596140883678,-0.304625499482947
"12",6,-2.37794783986537,3.70044579683042,-0.995887606572441
"13",6,-1.66921475316724,3.68497200390506,-0.499786072335835
"14",6,-1.0610131297062,3.7006906747659,-0.76989275276284
"15",6,-2.45002191015343,4.82681626103091,-0.858851537392914
"16",6,-0.805821102625456,3.39636743323708,-0.363045236959518
"17",6,-2.03031161743862,1.46921203070175,-1.07162207874295
"18",6,-1.5114793899624,4.05140731671145,-2.41755804991187
"19",6,-1.48844993107703,5.40406820986938,-6.2438186147529
"20",6,-0.275062391292695,3.97860688508976,-1.5782690237785
"21",6,-1.54992400897171,4.04873466130973,-1.9953082625419
"22",6,-3.71394221856983,4.17884902871249,-3.94357642503391
"23",6,-3.47642448039982,3.06272099440916,-3.19933285236393
"24",6,-3.82852278432204,0.446634264942161,1.94403472110173
"25",6,-4.22023920831884,5.7029311066879,-0.273099482249883
"26",6,-1.73336261237454,3.72268737676457,-1.67251415764591
"27",6,-2.10506493979191,3.15386986212123,-0.765019129720631
"28",6,-1.94162344574096,3.2335662217752,-1.52432585863171
"29",6,-0.749989410820621,3.55695718993229,-2.28224840630097
"30",6,-1.23626015029946,3.18880144444894,-2.42442332263452
"31",6,-1.18957911452945,3.81753847355634,-1.82587171703337
"32",6,-0.887651842045263,1.84082416212097,-1.93199736540252
"33",6,-2.29739571237702,3.10616529976444,0.355822747662042
"34",6,-1.50850753608235,2.91226498593205,-0.766212332377282
"35",6,-3.31210087323657,4.04677369412319,-2.95157541890728
"36",6,-2.7227115711032,3.40966753700952,-2.62616433548062
"37",6,-2.90220472114234,2.70183260375734,-2.17454248358316
"38",6,-0.735520868707914,3.75386834466808,-2.26407656830994
"39",6,-0.967682223570266,3.05587929831623,-1.44614169578026
"40",6,-1.86430208042142,3.30020976966378,-2.0509351589593
"41",6,-1.16902961457707,2.00100869240218,-1.72141665916686
"42",8,-2.97298077467002,0.343019344353021,2.1688522564902
"43",8,-0.998055818850503,0.07143142601621,1.04397064053327
"44",8,-1.75355477177038,-0.0512219038202587,2.08049113630939
"45",8,-2.74557801911546,0.512614240335037,1.66526341500866
"46",8,-3.11801073174338,0.602815290347085,2.76724987129875
"47",8,-3.61922945211496,0.40300014838785,2.58924570591218
"48",8,-2.31967303185337,0.0957531694773975,1.72169735802746
"49",8,-3.05521894099905,0.160702026313365,0.687233646318944
"50",8,-3.50437833741194,-0.420325738766375,1.88858768686197
"51",8,-2.87295924274685,-0.240365818706207,2.51565231217863
"52",8,-3.35611306334679,-0.766756424773996,2.57720287422087
"53",8,-1.30938124220633,0.761194740921657,1.99176431470563
"54",8,-3.18437246381905,1.03309159804595,2.70084123332111
"55",8,-2.75349110402647,-0.44447353271419,1.4008546516932
"56",8,-3.67377414843969,-0.631785637185198,1.15322325805593
"57",8,-2.48333046655761,0.705046886999267,1.60565822264848
"58",8,-3.57871212628988,-0.806440704748526,1.62772450697702
"59",8,-3.48834605553755,-0.101473374533321,2.69709890527106
"60",8,-2.77932591055833,0.590715248157737,1.41604632627357
"61",8,-4.21836263542742,0.0199215595433466,1.50509911095073
"62",8,-3.99626040132978,0.55575576124852,2.34889970455537
"63",8,-3.27019571190942,0.391181371442296,2.17399209664748
"64",8,-3.0603529780456,-0.0168802176472373,2.66578226793211
"65",8,-2.5924160027357,-0.2851798566525,1.03671971385204
"66",8,-3.36886290772769,0.0624788851915851,2.12425510881165
"67",8,-2.21645517285248,0.330947264547018,2.86367736247963
"68",8,-2.76002737618235,-0.315722613674667,1.56180120105028
"69",8,-1.78758382108922,-0.165549590394881,0.982975319038018
"70",8,-2.75494130865205,0.160808192882425,1.87433229715952
"71",8,-2.5274992084029,-0.764345970624947,0.215203292568816
"72",8,-2.61207553889698,-0.456038659504769,2.05456502464728
"73",8,-3.84542827258078,-1.85647049483161,1.13186292043301
"74",8,-2.84181278294403,-0.930958146738972,1.20674193180583
"75",8,-2.44500142820924,-2.87481378263219,1.64325744328201
"76",8,-2.67833064177778,-1.68378496789868,1.31320586050108
"77",8,-2.91094992713244,-1.90261500311383,1.61307720970463
"78",8,-1.83086583520113,-2.68098979583064,1.76543346798419
"79",8,-0.937049097309196,0.240351253432616,1.43292605185701
"80",8,-2.44566205416213,-0.64093457430197,0.950892873528559
"81",8,-2.16959296873456,-2.32145829424777,1.20914645502763
"82",8,-1.97038693815162,-2.15425171227637,1.54375777053222
"83",8,-2.44618047412688,-1.45742390744581,2.65938351123543
"84",8,-3.52062581939103,-2.23309956553902,0.674642866322765
"85",8,-4.20663950329442,-1.09278671422723,1.15447970768898
"86",8,-3.70298616703964,-1.62100517827568,2.19053947671562
"87",8,-2.95561971019974,-1.02020213502623,2.23995817467081
"88",8,-3.06043042577344,-0.00236296629520377,1.47559473727081
"89",8,-2.67102474513609,-0.631563729443606,2.29673788516582
"90",10,4.56443520489726,-0.232297903905764,-1.00645283208496
